City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Vaini,TO,76.17,few clouds,-21.2,-175.2,Keleti Beach Resort
12,Shimoda,JP,86.11,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
15,Santa Rosa,PH,89.85,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
18,Prachuap Khiri Khan,TH,86.58,light rain,12.2167,99.75,ผกากรองรีสอร์ท
19,Kieta,PG,82.9,light rain,-6.2167,155.6333,Uruna Bay Retreat
21,Atuona,PF,77.77,clear sky,-9.8,-139.0333,Villa Enata
26,Airai,TL,77.99,overcast clouds,-8.9266,125.4092,Juvinal Martin
27,Norsup,VU,82.31,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
34,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
35,Statesboro,US,78.94,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
38,San Ramon,US,77.59,overcast clouds,37.7799,-121.978,San Ramon Marriott
39,Nacogdoches,US,78.51,clear sky,31.6002,-94.6335,The Fredonia Hotel & Convention Center
40,Matara,LK,82.4,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
41,Manggar,ID,84.61,scattered clouds,-2.8833,108.2667,Guest Hotel
44,Butaritari,KI,78.51,light rain,3.0707,172.7902,Isles Sunset Lodge
46,Wuda,CN,83.57,overcast clouds,39.4994,106.7117,Grape Sightseeing Garden
47,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
49,Bengkulu,ID,84.81,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
52,Petropavlovsk-Kamchatskiy,RU,75.79,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
56,Ahuimanu,US,80.85,broken clouds,21.4447,-157.8378,Paradise Bay Resort
58,Luganville,VU,82.98,broken clouds,-15.5333,167.1667,The Espiritu Hotel
61,Ayagoz,KZ,89.8,scattered clouds,47.9714,80.4392,Gostinitsa Nur
65,Yangshe,CN,81.0,light rain,31.8899,120.6052,Jindongmen Hotel
72,Vanimo,PG,86.05,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
74,Soe,ID,85.39,broken clouds,-9.8607,124.284,Dena Hotel
89,Cabo San Lucas,MX,87.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
94,Isla Mujeres,MX,80.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
95,Worland,US,87.8,clear sky,44.0169,-107.9554,Town House Motor Inn
98,Bargi,IN,75.97,overcast clouds,22.9833,79.8667,Kartik Kiran Bekry
102,Mokhsogollokh,RU,80.6,clear sky,61.4681,128.9203,
104,Mayo,US,82.81,broken clouds,38.8876,-76.5119,Resorts Resource Group International
109,Okha,RU,76.69,overcast clouds,53.5739,142.9478,Империя
111,Jiuquan,CN,88.75,clear sky,39.7432,98.5174,Jiuquan Hotel
112,Sovetskoye,RU,81.37,broken clouds,52.2861,85.4131,"Gostinitsa ""Berozka"""
113,Houston,US,86.34,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
117,Georgetown,MY,89.53,haze,5.4112,100.3354,Cititel Penang
118,Lorengau,PG,85.71,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
129,Port Keats,AU,87.06,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
135,Buala,SB,83.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
136,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
137,Udachnyy,RU,85.21,clear sky,66.4167,112.4,Severnoye Siyaniye
148,Caibarien,CU,79.18,overcast clouds,22.5206,-79.4669,La Nena
149,Kralendijk,BQ,81.03,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
152,Moerai,PF,75.43,overcast clouds,-22.4333,-151.3333,Le Manotel
153,Banda Aceh,ID,86.04,overcast clouds,5.5577,95.3222,Sulthan Hotel International
154,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
156,Hirado,JP,88.36,overcast clouds,33.3597,129.5531,Samson Hotel
160,Yumen,CN,88.29,clear sky,40.2833,97.2,
161,Veraval,IN,79.05,overcast clouds,20.9,70.3667,Lords Inn Somnath
162,Malpe,IN,78.1,light rain,13.35,74.7167,Hotel Sri Krishna Residency
166,Qandala,SO,86.77,scattered clouds,11.472,49.8728,
169,Saint George,US,84.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
171,Pamekasan,ID,86.07,clear sky,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
172,Griffith,US,80.06,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
174,Mana,GF,76.23,broken clouds,5.6592,-53.7767,LE SAMANA
176,Kushima,JP,87.12,overcast clouds,31.4583,131.2333,Hanaoka
180,Bira,RU,75.2,overcast clouds,49.0,132.4667,Gostitsa Edel'veys
181,Herrin,US,78.71,mist,37.8031,-89.0276,Mary's Restaurant
182,Ixtapa,MX,82.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
183,Bilma,NE,87.51,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
186,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
187,Padang,ID,89.65,few clouds,-0.9492,100.3543,Mercure Padang
190,San Patricio,US,83.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
196,Sai Buri,TH,88.02,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
199,Portland,US,79.86,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
200,Katherine,AU,86.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
201,Catuday,PH,82.8,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
206,Lamar,US,85.66,clear sky,33.6668,-95.5836,Kings Inn Paris TX
207,Alofi,NU,78.01,few clouds,-19.0595,-169.9187,Taloa Heights
211,Balikpapan,ID,83.39,few clouds,-1.2675,116.8289,ibis Balikpapan
212,Orange Park,US,82.49,mist,30.1661,-81.7065,Hilton Garden Inn Jacksonville Orange Park
217,Port-Gentil,GA,75.52,overcast clouds,-0.7193,8.7815,Fengshui Residence
218,Lucea,JM,77.86,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
220,Wakkanai,JP,77.4,clear sky,45.4094,141.6739,Hyōsetsu-sō
222,Cayenne,GF,77.09,fog,4.9333,-52.3333,Hôtel Le Dronmi
233,Carupano,VE,75.49,overcast clouds,10.6678,-63.2585,Hotel La dorada
234,San Pedro De Ycuamandiyu,PY,75.06,broken clouds,-24.0917,-57.0764,Hotel Refugio
235,Ugoofaaru,MV,81.66,overcast clouds,5.6667,73.0,Ungoofaaru Inn
236,Meulaboh,ID,84.83,overcast clouds,4.1363,96.1285,Kost Pria
242,Huntsville,US,79.2,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
243,Roura,GF,76.96,fog,4.7263,-52.3274,Amazonie Découverte SARL
245,Daru,PG,77.81,overcast clouds,-9.0763,143.2092,Daru Lodge
249,Kijang,KR,83.71,clear sky,35.2442,129.2139,Samyang Beach Villa
253,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
255,Oussouye,SN,75.38,overcast clouds,12.485,-16.5469,Auberge du Routard
259,Carutapera,BR,75.15,clear sky,-1.195,-46.02,Lidera
261,Bintulu,MY,87.24,broken clouds,3.1667,113.0333,900 Boutique INN
