City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Mataura,NZ,-46.1927,168.8643,49.48,89,100,1.03,light rain,2021-07-26 04:00:54
1,Iqaluit,CA,63.7506,-68.5145,49.69,87,100,5.99,overcast clouds,2021-07-26 04:00:26
2,Egvekinot,RU,66.3167,-179.1667,49.73,76,100,2.64,overcast clouds,2021-07-26 04:00:55
3,Faya,SA,18.3851,42.4509,63.5,75,68,6.26,broken clouds,2021-07-26 04:00:56
4,Iquitos,PE,-3.7481,-73.2472,71.42,99,79,1.61,broken clouds,2021-07-26 04:00:56
5,Ouesso,CG,1.6136,16.0517,69.44,93,84,2.46,broken clouds,2021-07-26 04:00:57
6,Rikitea,PF,-23.1203,-134.9692,71.8,74,30,7.38,scattered clouds,2021-07-26 04:00:57
7,Carnarvon,AU,-24.8667,113.6333,70.0,57,8,9.28,clear sky,2021-07-26 04:00:58
8,Vaini,TO,-21.2,-175.2,76.17,78,13,4.25,few clouds,2021-07-26 04:00:58
9,Tiksi,RU,71.6872,128.8694,52.7,79,85,13.94,overcast clouds,2021-07-26 04:00:59
10,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,67.89,38,12,7.14,few clouds,2021-07-26 04:00:59
11,Abu Dhabi,AE,24.4667,54.3667,93.45,70,50,4.09,scattered clouds,2021-07-26 04:00:01
12,Shimoda,JP,34.6667,138.95,86.11,70,48,5.88,scattered clouds,2021-07-26 04:01:00
13,Sorland,NO,67.667,12.6934,53.85,83,100,4.23,overcast clouds,2021-07-26 04:01:00
14,Fremont,US,37.5483,-121.9886,74.82,67,40,1.01,scattered clouds,2021-07-26 03:56:49
15,Santa Rosa,PH,14.3122,121.1114,89.85,65,99,19.82,overcast clouds,2021-07-26 04:01:01
16,Tornio,FI,65.8481,24.1466,57.22,85,50,6.11,scattered clouds,2021-07-26 04:01:02
17,Busselton,AU,-33.65,115.3333,66.04,73,0,26.13,clear sky,2021-07-26 04:01:02
18,Prachuap Khiri Khan,TH,12.2167,99.75,86.58,57,100,11.16,light rain,2021-07-26 04:01:02
19,Kieta,PG,-6.2167,155.6333,82.9,76,55,4.03,light rain,2021-07-26 04:01:03
20,Yellowknife,CA,62.456,-114.3525,56.28,61,56,8.03,broken clouds,2021-07-26 04:00:04
21,Atuona,PF,-9.8,-139.0333,77.77,75,3,23.0,clear sky,2021-07-26 04:01:03
22,Hermanus,ZA,-34.4187,19.2345,55.8,53,100,6.96,overcast clouds,2021-07-26 04:01:04
23,Estrela,BR,-28.0611,-50.9383,57.2,83,98,3.67,overcast clouds,2021-07-26 04:01:04
24,Saldanha,ZA,-33.0117,17.9442,61.41,43,100,19.3,overcast clouds,2021-07-26 04:01:05
25,Port Elizabeth,ZA,-33.918,25.5701,52.09,50,0,6.91,clear sky,2021-07-26 03:56:32
26,Airai,TL,-8.9266,125.4092,77.99,23,86,4.14,overcast clouds,2021-07-26 04:01:05
27,Norsup,VU,-16.0667,167.3833,82.31,73,55,9.46,broken clouds,2021-07-26 04:01:05
28,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,74,20,13.8,few clouds,2021-07-26 04:01:06
29,Dalhousie,IN,32.5333,75.9833,63.9,95,100,2.17,overcast clouds,2021-07-26 04:01:06
30,Port Alfred,ZA,-33.5906,26.891,59.7,31,72,12.73,broken clouds,2021-07-26 04:01:07
31,Bluff,NZ,-46.6,168.3333,49.8,86,100,3.89,light rain,2021-07-26 04:01:07
32,Mahebourg,MU,-20.4081,57.7,70.25,73,40,11.5,scattered clouds,2021-07-26 04:01:07
33,Saskylakh,RU,71.9167,114.0833,59.72,57,95,14.58,overcast clouds,2021-07-26 04:01:08
34,Avarua,CK,-21.2078,-159.775,77.05,83,90,5.75,overcast clouds,2021-07-26 04:01:08
35,Statesboro,US,32.4488,-81.7832,78.94,88,1,0.0,clear sky,2021-07-26 04:01:08
36,Tuatapere,NZ,-46.1333,167.6833,49.82,97,100,1.83,light rain,2021-07-26 04:01:09
37,Chokurdakh,RU,70.6333,147.9167,56.43,40,56,9.98,broken clouds,2021-07-26 04:01:09
38,San Ramon,US,37.7799,-121.978,77.59,67,94,4.0,overcast clouds,2021-07-26 04:01:09
39,Nacogdoches,US,31.6002,-94.6335,78.51,91,0,2.42,clear sky,2021-07-26 03:56:20
40,Matara,LK,5.9485,80.5353,82.4,79,69,13.47,broken clouds,2021-07-26 04:01:10
41,Manggar,ID,-2.8833,108.2667,84.61,66,33,14.99,scattered clouds,2021-07-26 04:01:10
42,Bara,NG,10.3744,10.7288,71.37,96,100,10.83,overcast clouds,2021-07-26 04:01:10
43,Guarapari,BR,-20.6667,-40.4975,63.45,82,0,6.04,clear sky,2021-07-26 04:01:11
44,Butaritari,KI,3.0707,172.7902,78.51,87,100,13.18,light rain,2021-07-26 04:01:11
45,Necochea,AR,-38.5473,-58.7368,44.65,85,3,11.16,clear sky,2021-07-26 04:01:11
46,Wuda,CN,39.4994,106.7117,83.57,34,87,18.28,overcast clouds,2021-07-26 04:01:12
47,Nishihara,JP,26.1842,127.7558,87.46,89,75,13.8,broken clouds,2021-07-26 04:01:12
48,Ushuaia,AR,-54.8,-68.3,28.63,88,40,3.8,scattered clouds,2021-07-26 04:01:13
49,Bengkulu,ID,-3.8004,102.2655,84.81,57,2,4.63,clear sky,2021-07-26 04:01:13
50,Severo-Kurilsk,RU,50.6789,156.125,60.04,89,69,5.23,broken clouds,2021-07-26 04:01:14
51,Omsukchan,RU,62.5333,155.8,53.6,99,100,1.92,moderate rain,2021-07-26 04:01:14
52,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,75.79,61,0,8.95,clear sky,2021-07-26 04:01:14
53,Tuktoyaktuk,CA,69.4541,-133.0374,43.05,87,85,7.61,overcast clouds,2021-07-26 04:01:15
54,Qaanaaq,GL,77.484,-69.3632,36.86,74,100,2.82,overcast clouds,2021-07-26 04:01:15
55,Marondera,ZW,-18.1853,31.5519,35.92,94,0,8.41,clear sky,2021-07-26 04:01:15
56,Ahuimanu,US,21.4447,-157.8378,80.85,75,65,15.52,broken clouds,2021-07-26 04:01:16
57,Albany,US,42.6001,-73.9662,69.39,94,0,3.76,clear sky,2021-07-26 04:00:12
58,Luganville,VU,-15.5333,167.1667,82.98,70,68,6.91,broken clouds,2021-07-26 04:01:16
59,Bethel,US,41.3712,-73.414,74.71,90,40,0.0,scattered clouds,2021-07-26 04:01:17
60,Mar Del Plata,AR,-38.0023,-57.5575,46.42,91,89,13.11,overcast clouds,2021-07-26 04:00:39
61,Ayagoz,KZ,47.9714,80.4392,89.8,22,46,7.31,scattered clouds,2021-07-26 04:01:17
62,Cidreira,BR,-30.1811,-50.2056,68.14,68,91,5.21,overcast clouds,2021-07-26 04:01:17
63,Hobart,AU,-42.8794,147.3294,57.06,69,40,5.99,moderate rain,2021-07-26 03:57:30
64,Nanortalik,GL,60.1432,-45.2371,44.6,74,95,10.51,overcast clouds,2021-07-26 04:01:18
65,Yangshe,CN,31.8899,120.6052,81.0,96,100,5.99,light rain,2021-07-26 04:01:18
66,East London,ZA,-33.0153,27.9116,57.96,27,46,7.25,scattered clouds,2021-07-26 04:01:19
67,Norman Wells,CA,65.282,-126.8329,61.99,77,85,7.65,overcast clouds,2021-07-26 04:01:19
68,Kodiak,US,57.79,-152.4072,54.81,82,43,7.7,scattered clouds,2021-07-26 03:59:43
69,Cape Town,ZA,-33.9258,18.4232,59.34,38,100,5.03,overcast clouds,2021-07-26 04:01:19
70,Lagoa,PT,39.05,-27.9833,68.61,84,12,12.5,few clouds,2021-07-26 04:01:20
71,Lebu,CL,-37.6167,-73.65,46.49,81,14,15.93,few clouds,2021-07-26 04:01:20
72,Vanimo,PG,-2.6741,141.3028,86.05,58,52,4.03,broken clouds,2021-07-26 04:01:20
73,Mizan Teferi,ET,6.9833,35.5833,58.23,98,100,3.24,overcast clouds,2021-07-26 04:01:21
74,Soe,ID,-9.8607,124.284,85.39,23,54,7.31,broken clouds,2021-07-26 04:01:21
75,Irbit,RU,57.6705,63.071,57.42,56,40,7.99,scattered clouds,2021-07-26 04:01:21
76,Kaniama,CD,-7.5667,24.1833,63.23,42,30,9.51,scattered clouds,2021-07-26 04:01:22
77,Isangel,VU,-19.55,169.2667,74.97,74,95,16.11,overcast clouds,2021-07-26 04:01:22
78,Husavik,IS,66.0449,-17.3389,50.47,69,0,13.22,clear sky,2021-07-26 04:01:22
79,Caravelas,BR,-17.7125,-39.2481,67.39,91,30,3.62,scattered clouds,2021-07-26 04:01:23
80,Narsaq,GL,60.9167,-46.05,44.82,61,100,2.26,overcast clouds,2021-07-26 04:01:23
81,Dukat,RU,62.55,155.55,53.76,99,100,2.21,moderate rain,2021-07-26 04:01:23
82,Punta Arenas,CL,-53.15,-70.9167,35.11,80,77,8.93,broken clouds,2021-07-26 04:01:24
83,Dikson,RU,73.5069,80.5464,45.3,75,38,1.23,scattered clouds,2021-07-26 04:01:24
84,Bredasdorp,ZA,-34.5322,20.0403,53.28,41,100,6.78,overcast clouds,2021-07-26 04:01:24
85,Puerto Lopez,CO,4.0845,-72.956,72.97,93,84,2.77,broken clouds,2021-07-26 04:01:25
86,Roma,US,43.2128,-75.4557,71.46,93,20,3.44,mist,2021-07-26 04:01:15
87,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,7,4.0,clear sky,2021-07-26 04:01:25
88,Khatanga,RU,71.9667,102.5,63.88,51,66,1.63,broken clouds,2021-07-26 04:01:26
89,Cabo San Lucas,MX,22.8909,-109.9124,87.8,72,4,7.0,clear sky,2021-07-26 04:00:01
90,Coquimbo,CL,-29.9533,-71.3436,53.4,81,0,3.65,clear sky,2021-07-26 04:01:26
91,Barrow,US,71.2906,-156.7887,39.22,97,90,14.97,light rain,2021-07-26 04:00:06
92,Mehamn,NO,71.0357,27.8492,46.58,77,99,14.45,overcast clouds,2021-07-26 04:01:27
93,Rio Grande,BR,-32.035,-52.0986,62.2,85,43,7.4,scattered clouds,2021-07-26 04:01:27
94,Isla Mujeres,MX,21.2311,-86.731,80.17,79,89,3.18,overcast clouds,2021-07-26 04:01:27
95,Worland,US,44.0169,-107.9554,87.8,14,2,8.55,clear sky,2021-07-26 04:01:28
96,Moranbah,AU,-22.0016,148.0466,73.94,21,8,11.63,clear sky,2021-07-26 04:01:28
97,Waddan,LY,29.1614,16.139,73.27,60,0,5.99,clear sky,2021-07-26 04:01:28
98,Bargi,IN,22.9833,79.8667,75.97,85,100,11.01,overcast clouds,2021-07-26 04:01:29
99,Hofn,IS,64.2539,-15.2082,50.88,89,22,10.0,few clouds,2021-07-26 04:01:29
